карменсита	1
путешествие	417 499 8100 46511 105744 107131 108308 108505 112098 113936 116681 116817 119918 120443 129694 143808 147926 165773 173772 188653 200755 210389 213749
луну	417 120570 277642 401623 446557 449252 486321 2294687
алиса	420 43274 103647 164993 167758 176422 343172 356342 385053 407851 419425 459072 882742 1014759 1170347 1447826 1461312 1680051 2279437 2567026 2700064 3772478 3848876
стране	420 43274 137251 164993 212581 264262 298388 327597 349260 374853 385677 396618 419843 475998 476680 923025 1014759 1034325 1461312 1989712 2802008 4702528
чудес	420 43274 55312 119778 164993 174917 226418 264262 374853 457419 776772 892756 1014759 1034325 1461312 1909270 1909447 1986001 2308679 2802008 2994382 4084056 4584814
шахматные	430 6168996
дебаты	430
экстраординарное	436
дорожное	436 215129 365513 1319733
происшествие	436 104504 281850 816671 1521791
большое	439 487 88800 89791 112427 113936 116445 120609 213749 300195 338075 361670 405469 467443 865559 970521 1000070 1225302 1249415 1337366 1520498 2854170 3501016
ограбление	439 487 521 132077 165831 192982 200465 253126 286152 307507 310924 317740 374128 893401 1193460 1239401 1292652 1337366 1495902 1764234 2179133 2308733 2763296
жизнь	447 1120 2663 4282 4288 5310 8801 9018 38650 53779 100701 104118 105191 105577 105750 105888 106189 106447 106961 107404 107413 107429 107472
американского	447 112120 210706 256909 1692227
пожарного	447
злоключения	451 67385 1020109 1178180
мэри	451 9380 117002 129387 189006 365480 428134 451957 469684 899052 978762 1661859 1959332 2284766 2345481 3001638 4197642 5028340 5159756 5711138 6236572 6336356 6421110
джейн	451 2354 56687 113925 116684 119173 119404 256459 313680 371190 416508 780362 862620 866437 1076240 1117666 1157658 1229822 1326283 1743904 1781840 2140037 2345481
меломан	455
ван	464 103190 170189 338526 406310 488538 832449 1361843 1632679 1865467 2022539 3262342 4517232 4604036 4671274 5197820 5251328 6938828 7529350 8368304
винкль	464
царстве	465 110019 212583 213309 1746206 2382422
фей	465 205214 1450334
больной	469 120126 1227378 1829735 2404299 3701804 4141542 4146802 4214588
котнок	469 116794 8475762
хижина	471 1259521 2872518
дяди	471 1907707
тома	471 81917 108069 112302 262826 415322 3559124
сам	479 235739 1495823 3576842 6324956 8197978
покупай	479
себе	479 139859 206314 231758 295001 314006 780567 976238 1140941 1495823 1586262 1772416 2057069 2539482 3138376 3138376 3411212 3534842 4164798 5275830 6324956 7153766 7410684
черешню	479
